Postal,Lat,Lon,Address
310100,1.339564005,103.8485857,100 LOR 1 TOA PAYOH
310098,1.33917578,103.8483801,98 LOR 1 TOA PAYOH
310116,1.340472872,103.8461425,116 LOR 2 TOA PAYOH
310125,1.338331334,103.8457371,125 LOR 1 TOA PAYOH
310126,1.337814657,103.8451309,126 LOR 1 TOA PAYOH
310096,1.338624065,103.8483798,96 LOR 3 TOA PAYOH
311128,1.338216538,103.8440641,128 LOR 1 TOA PAYOH
310017,1.336426604,103.8566081,17 LOR 7 TOA PAYOH
312085,1.336285352,103.848443,85B LOR 4 TOA PAYOH
730002,1.439938288,103.7766948,2 MARSILING DR
730015,1.441925602,103.7781584,15 MARSILING LANE
730013,1.441096275,103.7792761,13 MARSILING LANE
730006,1.442072976,103.776354,6 MARSILING DR
730017,1.442678231,103.7777245,17 MARSILING LANE
150086,1.286920062,103.8186736,86 REDHILL CL
150128,1.282646752,103.8233271,128 BT MERAH VIEW
150130,1.284587128,103.8243603,130 BT MERAH VIEW
151129,1.283503071,103.8233537,129 BT MERAH VIEW
152119,1.283527552,103.82083,119 BT MERAH VIEW
50004,1.281800622,103.8429082,4 SAGO LANE
50034,1.286235215,103.8423033,34 UPP CROSS ST
82001,1.275687028,103.8424336,1 TG PAGAR PLAZA
200028,1.30581076,103.8574796,28 KELANTAN RD
81004,1.275905201,103.8427412,4 TG PAGAR PLAZA
82002,1.275236831,103.8426053,2 TG PAGAR PLAZA
81003,1.275619186,103.8424313,3 TG PAGAR PLAZA
50538,1.285212192,103.8457662,538 UPP CROSS ST
180271,1.300932673,103.853991,271 QUEEN ST
50533,1.284565755,103.8453799,533 UPP CROSS ST
50532,1.284193538,103.8459859,532 UPP CROSS ST
51335,1.282116308,103.8428456,335A SMITH ST
180264,1.299009418,103.8522849,264 WATERLOO ST
640185,1.346405382,103.7107771,185 BOON LAY AVE
640186,1.345727283,103.7110274,186 BOON LAY AVE
640211,1.348241225,103.7140979,211 BOON LAY PL
640208,1.347003674,103.7142164,208 BOON LAY PL
640210,1.347790527,103.7131345,210 BOON LAY PL
640187,1.345057736,103.7106998,187 BOON LAY AVE
330026,1.318307537,103.8629219,26 BENDEMEER RD
330028,1.318698325,103.8632322,28 BENDEMEER RD
